Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 1 Country,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 2 Country,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 3 Country,Paper Title,Year,Full Paper or WIP?,Session Name
Julia,Wilkowski,Google,USA,Amit,Deutsch,Google,USA,Daniel,Russell,Google,USA,Student skill and goal achievement in the mapping with google MOOC,2014,Full Paper,Student skills and behavior
Ana,Rusch,Georgia Institute of Technology,USA,Alex,Duncan,Georgia Institute of Technology,USA,David,Joyner,Georgia Institute of Technology,USA,"Student Life at Scale: Humanizing the Student Experience at Scale through Belonging, Engagement, and Community",2023,WIP,
